adidu,arr_ville,type,pop2021,log_priv2021,mono_pr,imm_recent_pr,autoch_minor_pr,sans_diplome_pr,pr_men_bil,pr_ind_mpc,pr_log_autor_axes_ps,pr_laeq60pl,pr_nocanop,pr_indust300m,pr_logchaleur,mefaits_pond,collisions_rt,crimes_pond,nb_commerces_alimentaires_moyenne_ponderee,nb_organismes_communautaires_moyenne_ponderee,nb_pharmacies_moyenne_ponderee,nb_ecoles_primaires_moyenne_ponderee,nb_pass_tc,nb_emplois_acces_tc_30min,nb_biblio_lieux_cult_principaux_moy_pond,nb_equipement_distinct_moy_pond,superficie_parc_accessible_moy_pond,ACP_sociale,ACP_econo,ACP_environn,ACP_securité,ACP_proximité,ACP_CultSportLoisir,ACP_sociale_2quintiles,ACP_econo_2quintiles,ACP_enviro_2quintiles,ACP_securite_2quintiles,ACP_proximite_2quintiles,ACP_CultSportLoisir_2quintiles,Indice_emv
24661482,Villeray-Saint-Michel-Parc-Extension,Arrondissement,748,454,12.90322580645161,5.970149253731343,32.83582089552239,10.71428571428571,14.8,14.2,26.43,0,100,0,100,228.4779736,31.04405286,1118.259912,3,11.44713656,5,2,634.959607,112035,1.105726872,7.577092511,6.675933413152006,-0.31572922198207726,0.47597782675935624,0.7703922812282173,0.6452029609902119,0.516506047666567,0.47407132313190664,0,1,1,1,0,0,3
24661483,Villeray-Saint-Michel-Parc-Extension,Arrondissement,533,308,20,3.157894736842105,9.375,12.6984126984127,19,18.9,0,0,11.36363636363636,0,65.5844155844156,249.3798701,42.91558442,1205.909091,5.412337662,12.37987013,4.824675325,1.668831169,847.372329,112035,1.415584416,13.52272727,9.5800800278193,-0.47436858983034186,1.0771508306056632,-0.5456847337719374,0.9967630226684052,0.7150617847094553,1.565328663276609,0,1,0,1,0,0,2
24661484,Villeray-Saint-Michel-Parc-Extension,Arrondissement,612,328,20.68965517241379,3.846153846153846,32.82442748091603,17.72151898734177,8.2,6.2,0,0,100,0,66.76829268292683,228.8719512,46.65243902,1096.5,4,12,5,1.701219512,973.997801,112035,0.2987804878,7.390243902,5.310271333989915,0.20428301596343126,-0.5126349665944273,0.2920195305396781,0.9360810271574131,0.7491290182709743,-0.14475122426519926,1,0,1,1,0,0,3
24661485,Villeray-Saint-Michel-Parc-Extension,Arrondissement,400,192,23.80952380952381,10.8433734939759,44.57831325301205,17.02127659574468,12,16.9,11.98,0,67.1875,0,32.8125,241.3177083,51.83333333,1091.3125,6.973958333,11.60416667,4,1,1185.43596,92650,1,11.22916667,9.726015352992995,0.8618252694333839,0.4921930292668102,-0.2767649735079859,1.0631226275226817,0.7402250832685227,0.9141323062914394,1,1,0,1,0,0,3
24661486,Villeray-Saint-Michel-Parc-Extension,Arrondissement,510,236,28,7.61904761904762,73.33333333333333,30,22.2,13.3,12.71,12.71186440677966,100,0,52.11864406779662,256.25,55.70338983,1037.283898,8.305084746,15.1779661,2.953389831,1,1181.090553,116950,1,10,7.694391282416898,1.9115076673869689,0.8788848650642175,0.3316795976988717,1.1317758768870188,0.7772490051443195,0.7471074367669988,1,1,1,1,0,0,4
24661487,Villeray-Saint-Michel-Parc-Extension,Arrondissement,597,237,14.70588235294118,0,55.55555555555556,32.69230769230769,14.3,5.6,0,0,100,0,100,213.3544304,48.98734177,957.5443038,4,12,4,2,1253.636817,92650,1,10,4.388092370456136,0.7145480032258964,-0.1703657192197582,0.6172912548715691,0.8362742509243113,0.772037489577581,0.7721299581019891,1,0,1,1,0,0,3
24661488,Villeray-Saint-Michel-Parc-Extension,Arrondissement,452,247,13.63636363636363,4.166666666666666,22.91666666666666,10.3448275862069,19.2,16.7,0,0,100,0,0,218.902834,49.81376518,1025.412955,3.619433198,10.48987854,4.619433198,1.619433198,951.726815,112035,0,4.489878543,4.575672322371116,-0.5606021654082661,0.932511522722311,-0.36150806238402927,0.9189533699923296,0.6205712353844657,-0.7922735621109471,0,1,0,1,0,1,3
24661489,Villeray-Saint-Michel-Parc-Extension,Arrondissement,613,290,20,11.11111111111111,38.88888888888889,16.21621621621622,11.5,5.6,69.66,0,9.655172413793103,0,0,215.1206897,41.69655172,935.3793103,2.4,10.7862069,2.803448276,1.755172414,638.297995,112035,0.4413793103,10,73.55215486016554,0.563032198776834,-0.3471606516311862,-0.8000285320016214,0.67953878797174,0.13093162942999106,-0.16766264759266855,1,0,0,1,0,0,2
24661490,Villeray-Saint-Michel-Parc-Extension,Arrondissement,571,350,17.39130434782609,11.21495327102804,45.79439252336449,4.10958904109589,19.6,20.6,74.57,0,50,0,50,235.6171429,33.47428571,1075.911429,2.5,10.24571429,4,2,676.029915,95695,0,6.474285714,3.586855011106435,0.1311267360591355,1.2365603587432812,0.09383871099297367,0.6764389234750373,0.3138213241490815,-0.4903167167495176,1,1,0,1,0,1,4
24661491,Villeray-Saint-Michel-Parc-Extension,Arrondissement,655,326,12.12121212121212,7.534246575342466,32.87671232876712,17.5,13.3,6.8,0,0,0,0,5.214723926380368,244.8834356,35.12576687,1080.631902,2.7116564419999998,10.90184049,2.282208589,1.947852761,700.817629,95695,0.9447852761,10.32515337,3.504429955152782,-0.03134537218284401,-0.14772448432338414,-1.2424952332108965,0.7343814554838193,0.09930280739384796,0.7859158408204793,0,0,0,1,0,0,1
