ADIDU,Arr_Ville,Type,Pop2021,LogPriv2021,nblog2021_ilot,Mono_pr,ImmRecent_Pr,AutochMinor_pr,SansDiplome_pr,pr_men_bil,pr_ind_sfr,pr_log_Autor_AxesPS,pr_laeq60pl,pr_nocanop,pr_indust300m,pr_logchaleur,mefaits_pond,collisions_rt,crimes_pond,nb_commerces_alimentaires_moyenne_ponderee,nb_organismes_communautaires_moyenne_ponderee,nb_pharmacies_moyenne_ponderee,nb_ecoles_primaires_moyenne_ponderee,nb_pass_TC,nb_emplois_acces_tc_30min,nb_biblio_lieux_cult_principaux_moy_pond,nb_equipement_distinct_moy_pond,superficie_parc_accessible_moy_pond,ACP_sociale,ACP_econo,ACP_environn,ACP_securité,ACP_proximité,ACP_CultSportLoisir,ACP_sociale_2quintiles,ACP_econo_2quintiles,ACP_enviro_2quintiles,ACP_securite_2quintiles,ACP_proximite_2quintiles,ACP_cultSportLoisir_2quintiles,Indice_emv
24661334,Cote-des-Neiges-Notre-Dame-de-Grace,Arrondissement,106,51,51,20,"12,5","62,5",0,0,,0,100,100,0,100,214,55,627,7,16,5,5,"593,7625",107775,0,14,"9,211159775","0,4672816607","-0,9918578436","1,477862892","0,697011251","1,120570218","0,5845395904",1,0,1,1,0,0,3
24661335,Cote-des-Neiges-Notre-Dame-de-Grace,Arrondissement,528,283,283,"17,39130435","12,76595745","53,68421053","3,773584906","11,9","17,9245283",0,100,0,0,100,180,37,546,4,4,1,3,"805,2328",60830,0,14,"13,2900993","0,3338782241","0,6223921825","0,5451959594","0,1992290124","-0,06007011075","0,5535876039",1,1,1,1,0,0,4
24661336,Cote-des-Neiges-Notre-Dame-de-Grace,Arrondissement,657,430,430,"11,11111111","7,086614173","45,3125",0,"13,8","37,69230769",0,40,40,0,40,"168,4","42,4","478,2",4,"5,4","1,8","2,8","864,547283",140745,"0,8",13,0,"-0,5109310256","2,430549015","-0,1856085173","0,2249090402","0,269315609","1,102036439",0,1,0,1,0,0,2
24661337,Cote-des-Neiges-Notre-Dame-de-Grace,Arrondissement,521,268,268,12,"1,869158879","25,47169811",0,0,"19,23076923",0,0,0,0,0,"131,2723881","40,25746269","376,2164179","3,805970149","5,026119403","0,9888059701",1,"964,589928",140745,"1,358208955","9,548507463","0,1611968095","-1,074309414","-0,04970613058","-1,294589457","0,01534161454","-0,01561301019","1,004214626",0,0,0,0,0,0,0
24661338,Cote-des-Neiges-Notre-Dame-de-Grace,Arrondissement,553,319,319,"10,52631579","7,339449541","31,19266055",0,0,"29,52380952",0,0,0,0,0,"160,2351097","31,38557994","477,5485893","2,435736677","5,871473354","1,435736677",2,"782,432692",60830,0,"13,38557994","14,7798099","-0,7862390679","0,8266750223","-1,294589457","-0,0115252239","-0,1612871084","0,451044695",0,1,0,0,0,0,1
24661339,Cote-des-Neiges-Notre-Dame-de-Grace,Arrondissement,980,527,527,"19,56521739","6,666666667","50,55555556","7,070707071",20,"18,87755102",0,"34,53510436",0,0,0,"195,2371917","37,34535104","558,1024668","5,278937381","1,375711575",3,3,"349,972522",60830,0,"14,37571157","15,95226793","0,2175853295","1,236716739","-0,9969841144","0,2513079787","-0,05137311101","0,5891779024",1,1,0,1,0,0,3
24661340,Cote-des-Neiges-Notre-Dame-de-Grace,Arrondissement,796,339,339,"17,14285714","9,375","53,48837209","11,86440678",10,"15,09433962",0,0,0,0,0,"130,5427729","22,33923304","422,4926254",4,1,"1,533923304",1,"170,96914",27775,0,4,"11,14897563","0,4584488087","0,2563539906","-1,294589457","-0,3025704946","-0,7478674783","-0,9151201596",1,1,0,0,1,1,4
24661341,Cote-des-Neiges-Notre-Dame-de-Grace,Arrondissement,294,116,116,"7,692307692",0,"49,33333333","8,571428571",0,"6,779661017",0,0,0,0,0,143,27,483,4,1,2,1,"250,003003",27775,0,4,"15,5905784","-0,6084644858","-1,109831833","-1,294589457","-0,1339855485","-0,6317161939","-0,9488241231",0,0,0,0,1,1,2
24661342,Cote-des-Neiges-Notre-Dame-de-Grace,Arrondissement,466,255,255,"21,05263158",13,"76,76767677","17,85714286","20,5","31,1827957",0,0,0,0,0,146,27,460,4,1,2,1,"366,377308",27775,0,4,"15,44208255","1,453929815","2,317335595","-1,294589457","-0,1450506381","-0,559649895","-0,9476973005",1,1,0,0,1,1,4
24661343,Cote-des-Neiges-Notre-Dame-de-Grace,Arrondissement,1138,622,622,25,"11,98156682","70,96774194","11,85185185",20,"22,90748899",0,0,0,0,0,"156,5755627","28,06270096","484,3504823","3,612540193","0,6125401929",2,"1,612540193","366,5292",27775,0,4,"15,5417734","1,264627513","1,57983807","-1,294589457","-0,08015212844","-0,513374727","-0,9484537789",1,1,0,0,1,1,4
